Electrode,X,Y,Z,0,2,4,6,8,10,12,14,16,18,20
'E84',4.118999958,-8.75,3.572999954,1971.9949,1973.5868,1979.8304,1983.6501,1985.709,1986.6278,1982.525,1978.0398,1972.9784,1971.8359,1975.7574
'E85',4.699999809,-6.920000076,6.125,-3466.127,-3463.0249,-3461.1499,-3460.5366,-3459.5256,-3458.634,-3460.7129,-3462.3047,-3464.2668,-3464.2966,-3464.4978
'E86',4.787000179,-4.607999802,7.971000195,-7034.0215,-7033.4946,-7031.6274,-7032.3374,-7032.0767,-7033.0107,-7032.981,-7032.6108,-7033.2363,-7033.2119,-7034.4536
'E87',4.462999821,-1.733999968,8.862999916,2942.0481,2944.467,2945.2271,2944.2856,2944.6558,2944.385,2943.5356,2940.6797,2938.7524,2939.5198,2941.9041
'E88',2.203000069,-8.557999611,-5.863999844,-4421.6343,-4418.4253,-4409.9639,-4409.9419,-4402.2153,-4405.583,-4418.6812,-4421.8032,-4419.3022,-4421.5273,-4418.4751
'E89',4.027999878,-8.678999901,-3.217000008,-4763.9932,-4763.9536,-4757.0991,-4756.6621,-4754.1958,-4756.9946,-4767.8823,-4773.4805,-4773.9595,-4768.2104,-4763.4766
'E90',5.302999973,-8.31099987,0.149000004,3444.3389,3448.4468,3452.9966,3452.855,3452.4451,3450.749,3445.397,3440.6086,3436.8586,3442.3496,3447.6321
'E91',5.940999985,-7.348999977,3.407000065,-288.25552,-285.45657,-280.75528,-276.93314,-273.54807,-273.38416,-277.19638,-283.12952,-286.7207,-288.40701,-286.92435
'E92',6.657000065,-5.131000042,5.657000065,-2403.1501,-2401.3123,-2397.9048,-2399.1118,-2397.4031,-2395.8809,-2398.9331,-2401.511,-2402.7253,-2402.1318,-2401.4861
'E93',6.798999786,-2.670000076,6.853000164,-348.21283,-345.04883,-343.91632,-343.79712,-343.13153,-342.65967,-345.98264,-348.71451,-348.2948,-348.7915,-348.06879
'E94',4.321000099,-7.30700016,-6.005000114,-4236.5718,-4232.6899,-4228.0381,-4227.981,-4222.3857,-4224.9312,-4237.627,-4242.7705,-4240.1328,-4239.3804,-4236.2686
'E95',6.169000149,-6.701000214,-3.301000118,-4280.6245,-4279.1343,-4279.5864,-4284.0518,-4283.1577,-4283.0234,-4289.0015,-4292.8062,-4293.7002,-4287.4194,-4281.3296
'E96',6.888999939,-6.570000172,0.059,-1535.5822,-1531.6606,-1527.3865,-1523.6412,-1518.1254,-1519.6726,-1525.792,-1529.5248,-1531.4197,-1533.8362,-1531.9065
'E97',7.486000061,-5.328000069,3.138999939,-2315.3823,-2313.542,-2312.0146,-2309.6179,-2306.5857,-2307.3679,-2308.3738,-2312.6155,-2314.2795,-2314.1877,-2313.9319
'E98',7.690999985,-3.437999964,4.769999981,-2939.3958,-2939.3833,-2937.7192,-2939.0083,-2936.4402,-2933.6711,-2936.125,-2940.9629,-2943.2502,-2940.9827,-2939.8228
'E99',6.087999821,-4.910999775,-6.407999992,-4010.1882,-4005.5093,-4003.4304,-4005.8818,-4004.2427,-4006.6443,-4012.7886,-4016.2231,-4013.8091,-4015.0088,-4011.9888
'E100',7.512000084,-4.269000053,-3.414000034,-3776.7937,-3771.4866,-3771.5833,-3773.729,-3769.3308,-3769.7107,-3777.7996,-3780.2236,-3778.5869,-3778.3459,-3779.3147
'E101',7.742000103,-4.592999935,-0.264999986,-1423.5552,-1416.646,-1416.1244,-1413.0275,-1408.7782,-1415.7073,-1415.141,-1410.0919,-1413.9042,-1413.5465,-1418.1534
'E102',8.347999573,-2.624000072,2.72300005,-4784.6138,-4784.6113,-4783.8467,-4786.9834,-4785.6597,-4780.6104,-4780.9111,-4794.2354,-4793.5747,-4788.6001,-4788.4111
'E103',7.881999969,-0.913999975,5.250999928,-1107.9734,-1105.9767,-1102.5195,-1105.6538,-1105.5669,-1105.3756,-1108.3931,-1113.0398,-1113.2311,-1110.7177,-1107.6356
'E104',6.255000114,0.324999988,7.287000179,-688.086,-685.54034,-683.40698,-684.35321,-683.02954,-684.3905,-687.6712,-690.43042,-690.51489,-688.91052,-687.77057
'E105',4.218999863,1.095999956,8.706999779,-3219.0161,-3216.2419,-3215.2534,-3217.8215,-3217.3296,-3216.9272,-3220.064,-3223.5137,-3222.8779,-3221.7454,-3220.0889
'E106',1.396999955,1.779999971,9.635000229,3096.6526,3099.094,3102.1362,3100.3953,3099.6279,3101.2944,3098.1279,3095.5078,3094.6707,3095.9075,3099.0417
'E107',7.048999786,-2.805999994,-6.434999943,-6054.1011,-6050.0229,-6045.9727,-6048.0313,-6048.7617,-6050.9844,-6053.6738,-6055.4297,-6053.5942,-6054.5308,-6054.8906
'E108',8.338999748,-2.130000114,-0.717999995,-3394.512,-3389.9224,-3392.4456,-3389.7561,-3382.0173,-3380.7458,-3387.8015,-3392.9573,-3388.7004,-3392.262,-3394.6262
'E109',8.437999725,0.037,2.447000027,874.58148,874.69324,874.78015,870.48114,871.8819,876.77441,876.17834,863.99915,864.32947,867.89331,871.69562
'E110',7.322000027,1.700999975,5.413000107,1320.3596,1323.6603,1325.364,1323.5808,1321.05,1321.9119,1319.9027,1314.7842,1314.0614,1316.8505,1320.2554
'E111',5.43599987,3.079999924,7.18900013,-2.1929543,-0.31292439,2.0141404,1.1473894,0.10430813,-1.758337,-4.688899,-6.0101352,-7.5573726,-6.5217419,-3.0671558
'E112',2.780999899,3.714999914,8.68599987,2895.1145,2897.1831,2900.3174,2898.3306,2897.6252,2897.3447,2894.7742,2893.0581,2892.1963,2892.9016,2896.1301
'E113',7.190000057,0.476000011,-6.927999973,-4740.812,-4735.0479,-4731.9854,-4733.7813,-4734.8018,-4738.1572,-4740.626,-4742.6201,-4742.0391,-4741.4033,-4740.6333
'E114',7.809000015,1.458999991,-4.059000015,-6923.9888,-6922.5459,-6923.7852,-6925.3594,-6922.6797,-6924.6416,-6927.478,-6934.7051,-6933.5107,-6927.2446,-6928.1235
'E115',8.210000038,0.970000029,-1.008000016,401.37024,406.59805,402.35123,408.48553,420.40897,418.7276,410.51212,406.15848,410.44009,401.19638,401.03745
'E116',7.789999962,3.388999939,2.773999929,1686.511,1685.7113,1687.1766,1678.9238,1670.8647,1676.043,1680.7194,1674.3293,1668.8333,1676.9817,1683.9952
'E117',6.331999779,4.745999813,5.282999992,-1668.1627,-1665.0582,-1662.6145,-1664.7007,-1667.4027,-1668.4036,-1669.998,-1672.8491,-1673.7382,-1671.0039,-1668.9028
'E118',4.367000103,5.847000122,6.78399992,4763.4941,4766.2729,4766.1885,4766.6431,4767.3657,4765.1206,4762.5825,4759.2197,4758.9717,4760.5586,4763.2383
'E119',6.775000095,2.542000055,-9.05700016,-3339.78,-3334.4775,-3332.302,-3331.408,-3334.8105,-3338.2004,-3339.6782,-3341.593,-3338.5706,-3338.8188,-3341.0591
'E120',7.441999912,2.759000063,-5.997000217,-7862.126,-7859.0439,-7857.9463,-7859.7593,-7858.8477,-7861.0557,-7863.8843,-7866.4224,-7865.1636,-7864.4653,-7862.6104
'E121',7.478000164,4.123000145,-3.828000069,-9906.6846,-9904.9434,-9905.582,-9903.5479,-9899.8672,-9899.2266,-9909.3301,-9911.2148,-9904.9092,-9907.6855,-9910.4492
'E122',7.304999828,4.710999966,-0.407000005,-1763.5251,-1779.0969,-1774.9568,-1750.4644,-1736.5839,-1751.326,-1762.6187,-1759.0424,-1755.933,-1759.0524,-1756.9388
'E123',6.486999989,6.224999905,3.237999916,-2145.196,-2142.6729,-2142.9211,-2149.7136,-2154.9763,-2152.8005,-2151.4521,-2154.7725,-2156.6799,-2152.3909,-2148.6208
'E124',5.09100008,6.873000145,4.982999802,-1209.2292,-1204.9824,-1204.9005,-1207.9701,-1208.4445,-1209.3534,-1212.4181,-1215.0754,-1214.2758,-1212.13,-1210.0116
'E125',6.984000206,5.164000034,-5.032999992,-3925.7905,-4127.2915,-4198.9189,-4106.271,-4153.833,-4098.3706,-3930.8618,-3875.0818,-3892.1213,-4052.1772,-4210.311
'E126',4.272999763,7.590000153,-7.454999924,-4602.1963,-4804.4053,-4874.7461,-4781.4077,-4827.9688,-4774.4937,-4606.5698,-4549.6353,-4567.9189,-4727.1973,-4885.7954
'E127',-4.272999763,7.590000153,-7.454999924,-4067.8359,-4270.626,-4341.0659,-4247.3623,-4295.4634,-4240.6621,-4073.4609,-4016.8142,-4033.4438,-4193.3208,-4351.6211
'E128',-6.984000206,5.164000034,-5.032999992,-4323.5771,-4525.7559,-4595.9751,-4501.75,-4550.8594,-4496.6938,-4327.1138,-4271.3809,-4289.9624,-4449.8369,-4606.1777
'E129',6.22E-16,0,10.1590004,0,0,0,0,0,0,0,0,0,0,0
'E130',6.34E-16,10.35599995,-2.694000006,,,,,,,,,,,
'E131',-6.711999893,0.046,-3.711999893,,,,,,,,,,,
'E132',6.711999893,0.046,-3.711999893,,,,,,,,,,,
